fold,test_month,bagged_ic,std_across_seeds,pred_corr_mean,seed_0_ic,seed_1_ic,seed_2_ic,seed_42_ic,seed_123_ic
1,2020-02-28,-0.12031418480448403,0.042598132357602285,0.4408669743281567,-0.08801097555030035,-0.1385091891574106,-0.14607293187663642,-0.03427012106678358,-0.06609709535754184
2,2020-03-31,0.056644789758737595,0.06738068095628029,0.3074778152244898,0.12722322076273662,-0.021557867107556156,-0.0038647797911119633,0.019026321891660935,0.13816006184541912
3,2020-04-30,0.10994710004347176,0.056147507537795745,0.26948456820116734,-0.0034805485764365907,0.1347064629576501,0.1362786820425112,0.10689607649822037,0.03604494199380409
4,2020-05-29,0.17023644195670828,0.07892911605772367,0.4156661706501443,0.23424556605075192,0.09542876527897637,0.24638375614429056,0.10920254287300098,0.049163742504075694
5,2020-06-30,-0.011646472421567536,0.060200127447152085,0.28916272668876036,-0.06775382506563021,-0.032017993054277084,0.018811378156187292,-0.10179611623468823,0.0668842620760261
6,2020-07-31,0.10500805232627107,0.02226104830906128,0.3952980665597975,0.09440414342841527,0.031921094985144734,0.07854148886127504,0.08965671587864567,0.06797453417079224
7,2020-08-31,0.003863397748435813,0.04531092254654368,0.40517537326903685,0.07211839497897297,0.0026688228987757417,-0.028073493167313553,-0.06171123246019205,0.02167322814620534
8,2020-09-30,-0.007310589991382696,0.04003955286366127,0.2906625115557198,-0.0654477822533198,0.036706692165008534,-0.04690870592827866,0.02255875361900442,0.008532518435789335
9,2020-10-30,0.18262469003543727,0.08871223684959235,0.2741864900238267,0.19454286956074537,0.005277071233358527,0.07746860539883432,0.2601387224110204,0.13752043775470207
10,2020-11-30,0.046462989939693465,0.02379099624474316,0.4033965331307107,0.06802272160025076,0.0303742428909922,-0.0014852628325810824,0.015045006205376528,0.043212108599627715
11,2020-12-31,0.02510390128333011,0.06571737689809581,0.28588348138006997,0.12676884586277012,-0.0659450825893775,0.081430465338999,0.006313405008237206,0.031888385239973234
12,2021-01-29,0.018544855196611,0.05841817478795846,0.44255422155637864,0.08919256845001133,-0.06462754103104787,0.05801903508412557,0.0013715075147877874,0.085462020343255
13,2021-02-26,-0.036029086311002025,0.07680532860729526,0.48471025090491204,0.036216550630314405,-0.13669953972310306,0.0765856430996507,-0.06190254729944335,0.023827078582516106
14,2021-03-31,0.03908313966459898,0.03697654148916743,0.43627841282378793,0.07825726336509337,0.03397729483237558,0.025367634483983045,-0.03449005244731029,0.04764739255269799
15,2021-04-30,-0.05598794380219932,0.05744398918317189,0.28271265882805613,-0.1296723017156584,0.03235510909885735,-0.046334717842501906,-0.05771266284151741,0.013851592485579772
16,2021-05-28,0.032933433918336356,0.02639933119551097,0.4256870052448412,0.0647788129416987,-0.00035437835415010006,0.02283306741760812,0.047741315136247124,-0.0023714679419066195
17,2021-06-30,0.06801613804953607,0.07816889984022672,0.31004398042167813,0.0730294444490083,0.025981015259927416,0.1460157167466879,-0.06272213237748209,-0.051876588326720374
18,2021-07-30,-0.0714334179656962,0.04884359589924834,0.45458395311146094,-0.06209837278816799,0.0032845100276273336,-0.11981833665806436,-0.07981887285055926,0.006391116680452461
19,2021-08-31,-0.10721284823138157,0.03761839558127448,0.3109473269478797,-0.05628548344870055,-0.06805937703037772,-0.14004950844057126,-0.06331572834634941,-0.02601112831119696
20,2021-09-30,0.0761093837704093,0.06879104629391737,0.30868240804156033,0.015037883284046174,0.1392012047120662,0.1336909163732974,-0.03926054583323038,0.050853642522255806
21,2021-10-29,0.11880213910773117,0.03578974901262282,0.42668191165797,0.11671298538587624,0.0937087410704544,0.11978666430065799,0.058166592934079636,0.026578977321950338
22,2021-11-30,-0.14545727145054357,0.05674434241034162,0.16117348830596895,-0.14258880669451612,0.010596543892662352,-0.038459329801564884,-0.12095899194610739,-0.04171621537803274
23,2021-12-31,-0.32261692777042195,0.06150443666578515,0.3144591715567876,-0.13383619370599614,-0.31125611169236256,-0.20784350452850672,-0.2572279914379966,-0.17937639891673623
24,2022-01-31,-0.09923782272385566,0.05540933767259884,0.33629293829173135,0.025755142899511883,-0.11879145917823514,-0.00030437799063700444,-0.09903112501145546,-0.04300520071490037
25,2022-02-28,-0.05259659893537818,0.02054906824509999,0.3120072187811208,-0.045376309369627825,-0.028561992677677575,-0.052447319631680964,-0.030035165721699914,-0.0852104747105477
26,2022-03-31,-0.2452854578911274,0.06112616768298209,0.38511217755063465,-0.20642349315124206,-0.17183350038524914,-0.16183840041925582,-0.05986256819700477,-0.2418917869244058
27,2022-04-29,-0.023551346434436148,0.04982110191325054,0.5127050179284897,0.028789057300137522,-0.07182712862449257,-0.08741758521415259,0.00783413551261647,0.025006166426971257
28,2022-05-31,0.11595453357916748,0.09354389718178618,0.2936574014999395,0.10336521291106432,0.14149064385388216,-0.10714511894548683,0.1364980645332737,0.11511066716791746
29,2022-06-30,0.3805891769746657,0.03893836490689279,0.3981685428072823,0.2831990184242798,0.3292004809197523,0.21821257952090695,0.2556843353865193,0.3073705125049587
30,2022-07-29,-0.13766419791705853,0.05738797856445543,0.43001497467565886,-0.1979897349851213,-0.02839395388476656,-0.12033724262269066,-0.14053258294012408,-0.1663145954986015
31,2022-08-31,0.0324630402133577,0.04746892352543717,0.17627362782710093,0.033184467720072816,0.037311678159662374,0.006613644353005771,-0.033456400222050646,0.11145225095411342
32,2022-09-30,-0.13644736778549893,0.02171953855395241,0.3056603433725599,-0.11487743496264843,-0.06787694199514673,-0.12084198641192496,-0.08413405123197908,-0.12083296457576813
33,2022-10-31,0.07594972585994651,0.030292298077272385,0.4708485527585545,0.04373482779650246,0.10798474782811832,0.09655687624764299,0.035063829333222676,0.09663240418271962
34,2022-11-30,-0.06185175378654264,0.04938474111115752,0.4276971695188333,-0.05508024256155575,-0.038652114009207275,-0.12456474415788271,0.013663019648552908,0.003979572584391714
35,2022-12-30,0.4566430504392506,0.05502900724516694,0.5390711614776167,0.3502742157661136,0.3362201486957264,0.4080426372375143,0.30196288508198005,0.4568140452281904
36,2023-01-31,0.08829971058153649,0.028905018183202593,0.29122515372164803,0.05334074931423956,-0.021703079069932536,0.026169512572954145,0.03343402133587677,0.06055621745931691
37,2023-02-28,0.06612985292302903,0.040687663497178124,0.359267332131812,0.08751651239356494,0.026718626811385617,0.12024651161085786,0.04393911766212049,0.00945884654748192
38,2023-03-31,0.08211556982217785,0.047310611044359505,0.40844257344440765,0.07096601528877655,0.045846319631586904,0.11438799851544816,-0.013636941474383922,-0.0027961942539243704
39,2023-04-28,0.13828091349436328,0.04327283890553282,0.636089289800534,0.08528462001547009,0.14953919578995745,0.05187242440250168,0.16830414379741038,0.13789961914646162
40,2023-05-31,0.01513561305454516,0.07502658234134967,0.3919803867000257,0.11529352840929372,0.10272329734514496,0.09903975208759205,-0.039036231364687424,-0.05444750103875492
41,2023-06-30,-0.08438381295643535,0.02233587618782264,0.25560687514423186,-0.00591604216146335,-0.03159971880756784,-0.017772043580232464,-0.07209042569343707,-0.029514477873972097
42,2023-07-31,0.009153681872624565,0.04377901540917087,0.38042461227776714,-0.02968814922016347,-0.040872751988481774,0.06402684467238426,0.05515235711439003,0.036668814515583695
43,2023-08-31,-0.043493764571768095,0.032677492502528285,0.25029832646383354,-0.029738634997943752,-0.07161135998695514,0.022529475901321858,-0.020228223033632427,0.008071187884906494
44,2023-09-29,-0.2714077544500329,0.021215824993346132,0.5519847898996872,-0.2415323075367618,-0.1841110040389518,-0.23998078866359662,-0.23399605947176688,-0.2247829630712104
45,2023-10-31,0.052516367504527206,0.05601487658901867,0.3280621668580605,-0.026145381939512227,0.12396600609931668,0.04225896434160931,0.03138207605468576,0.11546277464637504
46,2023-11-30,0.14630586092500528,0.056019275028013425,0.298798850392047,0.15671050466632455,0.15859723503010223,0.16806057985544579,0.13617702541890353,0.017272299409584458
47,2023-12-29,-0.2636472654501331,0.09112867015602061,0.49058017543851185,-0.22254831003148975,-0.2975478015313466,-0.2289009378551502,-0.2405070769607637,-0.02943097332603901
48,2024-01-31,0.089168098384873,0.061170507803409095,0.3599675051886492,0.07920640083263236,0.1572688556330692,0.18607076578111464,0.030140085176074055,0.04795619516264417
49,2024-02-29,-0.17339928854634018,0.034785196980143915,0.28213629472362517,-0.053976379823788195,-0.1331743685969286,-0.10316177738371522,-0.05385645986328294,-0.12892857446238423
50,2024-03-28,-0.12215408391125143,0.06230715367839899,0.3870823487654894,0.031052552144738798,-0.09230331268919244,-0.1550198588691976,-0.050502870462297844,-0.10439402938979372
51,2024-04-30,0.003600843411835015,0.022831667749984533,0.26553722580680883,0.016587962716267907,-0.04331133512522321,0.011482004862448946,0.01528207932968225,0.010617665506772444
52,2024-05-31,0.04183249327418938,0.04778904058328453,0.20965002887862227,0.033176149933637725,0.08959993343679265,-0.0077323173512787455,0.092121431869666,-0.022986411660500774
53,2024-06-28,0.0890565736677053,0.04189294383783081,0.5149459717918863,0.08248181940234582,0.0015137474164336187,0.12948032768390075,0.09407590408825342,0.07569005002064808
54,2024-07-31,0.12275576611084021,0.07283829992006847,0.2888024449400338,0.1297139437761962,-0.036506171107124875,0.07616412222759605,-0.011515792966827735,0.14353570849540967
55,2024-08-30,0.08583572997604283,0.014248371222782056,0.544058250928733,0.06409239306945096,0.0996150703825116,0.06519793718044958,0.062264286307539676,0.08080940386930273
56,2024-09-30,-0.19723563227459212,0.01510211537652603,0.23610172712332558,-0.1092413609973575,-0.13408036346609162,-0.1507373899779569,-0.14967865985277573,-0.13140944766424645
57,2024-10-31,0.06435842895765219,0.02370305667478987,0.33542556109737753,0.01371890718795898,0.01855794146210313,0.06464903424737799,0.07022552212133298,0.028079033996090026
58,2024-11-29,0.02057251902755223,0.024760319689476465,0.5602613787962787,0.026492234512261716,-0.035766327331532524,0.016261331906421667,0.02820689441094904,0.02922815175922755
